accuracy,bath_type,bed_type,unit_type,checkin,cleanliness,communication,guest_satisfaction,is_superhost,latitude,location,longitude,num_baths,num_beds,num_guests,num_host_reviews,num_reviews,num_rooms,price,rating,response_time_shown,room_id,room_type,short_desc,value,url,site,sq_ft,min_nights,row_number,content
10,shared bath,beds,bedroom,10,10,10,98,NA,38.01636,10,-78.47254,1,2,2,NA,126,1,57.470588235294116,5,NA,16970527,NA,NA,10,https://www.airbnb.com/rooms/16970527,AirBnB,NA,NA,40,"<a href='https://www.airbnb.com/rooms/16970527'>AirBnB--16970527</a>
<br>
row-num:40"
10,bath,beds,bedroom,10,10,10,99,NA,38.02553,10,-78.48166,1,2,4,NA,194,1,75,5,NA,17210204,NA,NA,10,https://www.airbnb.com/rooms/17210204,AirBnB,NA,NA,41,"<a href='https://www.airbnb.com/rooms/17210204'>AirBnB--17210204</a>
<br>
row-num:41"
10,bath,beds,Studio,10,10,10,98,NA,38.02954,10,-78.4833,1,2,3,NA,214,0,99,5,NA,17284213,NA,NA,10,https://www.airbnb.com/rooms/17284213,AirBnB,NA,NA,42,"<a href='https://www.airbnb.com/rooms/17284213'>AirBnB--17284213</a>
<br>
row-num:42"
10,bath,beds,bedroom,10,10,10,97,NA,38.02624,10,-78.47314,1,2,4,NA,295,1,52.705882352941174,5,NA,17337587,NA,NA,10,https://www.airbnb.com/rooms/17337587,AirBnB,NA,NA,43,"<a href='https://www.airbnb.com/rooms/17337587'>AirBnB--17337587</a>
<br>
row-num:43"
10,bath,bed,bedroom,10,10,10,97,NA,38.02068,10,-78.511,1,1,2,NA,87,1,59.16,5,NA,17460536,NA,NA,10,https://www.airbnb.com/rooms/17460536,AirBnB,NA,NA,44,"<a href='https://www.airbnb.com/rooms/17460536'>AirBnB--17460536</a>
<br>
row-num:44"
10,bath,beds,bedrooms,10,10,10,99,NA,38.02387,10,-78.47625,1,3,6,NA,124,3,90,5,NA,17971569,NA,NA,10,https://www.airbnb.com/rooms/17971569,AirBnB,NA,NA,45,"<a href='https://www.airbnb.com/rooms/17971569'>AirBnB--17971569</a>
<br>
row-num:45"
10,bath,beds,bedroom,10,10,10,100,NA,38.01745,10,-78.50099,1,2,3,NA,219,1,90,5,NA,18601797,NA,NA,10,https://www.airbnb.com/rooms/18601797,AirBnB,NA,NA,46,"<a href='https://www.airbnb.com/rooms/18601797'>AirBnB--18601797</a>
<br>
row-num:46"
10,private bath,bed,bedroom,10,10,10,100,NA,38.04799,10,-78.49198,1,1,2,NA,240,1,66.66666666666667,5,NA,18663946,NA,NA,10,https://www.airbnb.com/rooms/18663946,AirBnB,NA,NA,47,"<a href='https://www.airbnb.com/rooms/18663946'>AirBnB--18663946</a>
<br>
row-num:47"
10,bath,beds,bedroom,10,10,10,98,NA,38.02533,10,-78.47852,1,2,6,NA,235,1,63,5,NA,18689465,NA,NA,10,https://www.airbnb.com/rooms/18689465,AirBnB,NA,NA,48,"<a href='https://www.airbnb.com/rooms/18689465'>AirBnB--18689465</a>
<br>
row-num:48"
10,bath,beds,bedroom,10,10,10,100,NA,38.03387,10,-78.49075,1,2,4,NA,161,1,82,5,NA,18689593,NA,NA,10,https://www.airbnb.com/rooms/18689593,AirBnB,NA,NA,49,"<a href='https://www.airbnb.com/rooms/18689593'>AirBnB--18689593</a>
<br>
row-num:49"
10,bath,beds,Studio,10,10,10,98,NA,38.02143,10,-78.45734,1,2,3,NA,117,0,75,5,NA,19659797,NA,NA,10,https://www.airbnb.com/rooms/19659797,AirBnB,NA,NA,50,"<a href='https://www.airbnb.com/rooms/19659797'>AirBnB--19659797</a>
<br>
row-num:50"
10,private bath,bed,bedroom,10,10,10,99,NA,38.06763,10,-78.49753,1,1,2,NA,44,1,45,5,NA,19742625,NA,NA,10,https://www.airbnb.com/rooms/19742625,AirBnB,NA,NA,51,"<a href='https://www.airbnb.com/rooms/19742625'>AirBnB--19742625</a>
<br>
row-num:51"
10,baths,beds,bedrooms,10,10,10,97,NA,38.03215,10,-78.48989,2,5,8,NA,58,3,180,5,NA,19796446,NA,NA,10,https://www.airbnb.com/rooms/19796446,AirBnB,NA,NA,52,"<a href='https://www.airbnb.com/rooms/19796446'>AirBnB--19796446</a>
<br>
row-num:52"
10,bath,bed,Studio,10,10,10,98,NA,38.02977,10,-78.48307,1,1,2,NA,173,0,70,5,NA,19806418,NA,NA,10,https://www.airbnb.com/rooms/19806418,AirBnB,NA,NA,53,"<a href='https://www.airbnb.com/rooms/19806418'>AirBnB--19806418</a>
<br>
row-num:53"
10,bath,bed,Studio,10,10,10,99,NA,38.04973,10,-78.4875,1,1,2,NA,82,0,89,5,NA,19857767,NA,NA,10,https://www.airbnb.com/rooms/19857767,AirBnB,NA,NA,54,"<a href='https://www.airbnb.com/rooms/19857767'>AirBnB--19857767</a>
<br>
row-num:54"
10,bath,bed,bedroom,10,9,10,95,NA,38.02205,10,-78.51655,1,1,3,NA,39,1,55.166666666666664,5,NA,19912330,NA,NA,9,https://www.airbnb.com/rooms/19912330,AirBnB,NA,NA,55,"<a href='https://www.airbnb.com/rooms/19912330'>AirBnB--19912330</a>
<br>
row-num:55"
10,baths,beds,bedrooms,10,10,10,95,NA,38.03696,10,-78.47384,1.5,3,4,NA,69,2,139.5,5,NA,19965494,NA,NA,10,https://www.airbnb.com/rooms/19965494,AirBnB,NA,NA,56,"<a href='https://www.airbnb.com/rooms/19965494'>AirBnB--19965494</a>
<br>
row-num:56"
10,bath,bed,bedroom,10,10,10,100,NA,38.0608,10,-78.48007,1,1,4,NA,16,1,109,5,NA,20016322,NA,NA,10,https://www.airbnb.com/rooms/20016322,AirBnB,NA,NA,57,"<a href='https://www.airbnb.com/rooms/20016322'>AirBnB--20016322</a>
<br>
row-num:57"
10,bath,beds,bedroom,10,10,10,100,NA,38.02269,10,-78.48604,1,2,4,NA,75,1,81,5,NA,20193549,NA,NA,10,https://www.airbnb.com/rooms/20193549,AirBnB,NA,NA,58,"<a href='https://www.airbnb.com/rooms/20193549'>AirBnB--20193549</a>
<br>
row-num:58"
10,baths,beds,bedrooms,10,10,10,98,NA,38.02689,10,-78.51765,3.5,5,0,NA,75,4,149,5,NA,20278927,NA,NA,10,https://www.airbnb.com/rooms/20278927,AirBnB,NA,NA,59,"<a href='https://www.airbnb.com/rooms/20278927'>AirBnB--20278927</a>
<br>
row-num:59"
10,bath,beds,bedrooms,10,10,10,98,NA,38.02667,10,-78.47582,1,3,5,NA,24,2,139.5,5,NA,20283849,NA,NA,10,https://www.airbnb.com/rooms/20283849,AirBnB,NA,NA,60,"<a href='https://www.airbnb.com/rooms/20283849'>AirBnB--20283849</a>
<br>
row-num:60"
10,bath,beds,bedrooms,10,10,10,100,NA,38.01999,10,-78.50972,1,3,6,NA,57,3,150,5,NA,20430324,NA,NA,10,https://www.airbnb.com/rooms/20430324,AirBnB,NA,NA,61,"<a href='https://www.airbnb.com/rooms/20430324'>AirBnB--20430324</a>
<br>
row-num:61"
10,bath,bed,bedroom,10,10,10,100,NA,38.03368,10,-78.46706,1,1,2,NA,93,1,122,5,NA,20540526,NA,NA,10,https://www.airbnb.com/rooms/20540526,AirBnB,NA,NA,62,"<a href='https://www.airbnb.com/rooms/20540526'>AirBnB--20540526</a>
<br>
row-num:62"
10,bath,beds,bedrooms,10,9,10,96,NA,38.01862,10,-78.48489,1,2,4,NA,138,2,90,5,NA,20640006,NA,NA,9,https://www.airbnb.com/rooms/20640006,AirBnB,NA,NA,63,"<a href='https://www.airbnb.com/rooms/20640006'>AirBnB--20640006</a>
<br>
row-num:63"
10,bath,beds,bedrooms,10,10,10,97,NA,38.03609,10,-78.47973,1,2,4,NA,74,2,149.5,5,NA,20693516,NA,NA,10,https://www.airbnb.com/rooms/20693516,AirBnB,NA,NA,64,"<a href='https://www.airbnb.com/rooms/20693516'>AirBnB--20693516</a>
<br>
row-num:64"
10,bath,beds,bedrooms,10,9,10,96,NA,38.02099,10,-78.47609,1,2,4,NA,31,2,131,5,NA,20744879,NA,NA,9,https://www.airbnb.com/rooms/20744879,AirBnB,NA,NA,65,"<a href='https://www.airbnb.com/rooms/20744879'>AirBnB--20744879</a>
<br>
row-num:65"
